"mls"	"price"	"type"	"ownership"	"size"	"stories"	"bathrooms"	"bedroomsAboveGrade"	"bedroomsBelowGrade"	"address"	"postalcode"	"longitude"	"latitude"	"lot"	"parking1Type"	"parking1Spaces"	"parking2Type"	"parking2Spaces"	"parking3Type"	"parking3Spaces"	"rawLow"	"url"
"1133150"	"309900"	"House"	"Freehold"	"2262"	"1"	"2"	"3"	0	"46 Dominic Drive"	"A1X0J9"	"-53.041721"	"47.470845"	"59 x 120"	"Attached garage"	""	""	""	""	""	"APPROX 59 X 120|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/17182022/46-DOMINIC-Drive-CONCEPTION-BAY-SOUTH-Newfoundland-Labrador-A1X0J9"
"1156499"	"309900"	"House"		"1885"	"1"	"3"	"4"	0	"103 Porters Road"	"A1X6T5"	"-53.0354"	"47.49286"	"42 x 107 x 48 x 38"	"Attached garage"	""	""	""	""	""	"42X107X48X38|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18164959/103-Porters-Road-Conception-Bay-South-Newfoundland-Labrador-A1X6T5"
"1156562"	"309900"	"House"		"2152"	"1"	"3"	"4"	0	"15 Scenic Place"	"A1X7M1"	"-52.999155"	"47.501078"	"50 x 100"	"Detached garage"	""	""	""	""	""	"50 x 100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18165372/15-Scenic-Place-Conception-Bay-South-Newfoundland-Labrador-A1X7M1"
"1156715"	"309900"	"House"	"Freehold"	"2200"	"1"	"3"	"3"	0	"50 Blackstrap Path"	"A1W4B8"	"-52.930598"	"47.519737"	"50 x 200"	"Detached garage"	""	""	""	""	""	"50X200|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18177335/50-Blackstrap-Path-Conception-Bay-South-Newfoundland-Labrador-A1W4B8"
"1156776"	"309900"	"House"	"Freehold"	"2128"	"1"	"3"	"3"	"1"	"6 Grandy Crescent"	"A1N4X2"	"-52.81415"	"47.52394"	"50 x 100"	""	""	""	""	""	""	"50 X 100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18183047/6-Grandy-Crescent-Mount-Pearl-Newfoundland-Labrador-A1N4X2"
"1155644"	"309900"	"House"	"Freehold"	"2250"	"2"	"4"	"3"	0	"12 Nonia Street"	"A1B5E9"	"-52.79282"	"47.54795"	"50 x 100"	""	""	""	""	""	""	"50 X 100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18084309/12-NONIA-Street-ST-JOHNS-Newfoundland-Labrador-A1B5E9"
"1137681"	"314900"	"House"	"Freehold"	"2393"	"1"	"2"	"3"	0	"29 Petite Forte Drive"	"A1B0A8"	"-52.794469"	"47.55125"	"50 x 100"	""	""	""	""	""	""	"50X100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/17858201/29-PETITE-FORTE-Drive-ST-JOHNS-Newfoundland-Labrador-A1B0A8"
"1156280"	"315000"	"House"	"Freehold"	"1836"	"1"	"2"	"2"	0	"19 Moffatt Road"	"A1N5B9"	"-52.812815"	"47.534193"	"68.43 x 89.86 x 57.40 x 69.51"	"Attached garage"	""	"Garage"	"1"	""	""	"68.43X89.86X57.40X69.51|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18138339/19-MOFFATT-Road-MOUNT-PEARL-Newfoundland-Labrador-A1N5B9"
"1156523"	"316000"	"House"		"2324"	"1"	"3"	"3"	"1"	"16 Keystone Avenue"	"A1L0K6"	"-52.89157"	"47.5382"	"55 x 105"	""	""	""	""	""	""	"55 X 105|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18164967/16-Keystone-Avenue-Paradise-Newfoundland-Labrador-A1L0K6"
"1156843"	"319900"	"House"		"2500"	"1"	"2"	"3"	0	"33-35 Hands Road"	"A1X5A6"	"-53.079705"	"47.468474"	"70 x 150"	""	""	""	""	""	""	"70x150|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18186688/33-35-Hands-Road-Conception-Bay-South-Newfoundland-Labrador-A1X5A6"
"1156047"	"319900"	"House"	"Freehold"	"2200"	"1"	"3"	"3"	0	"13 Emerald Creek Drive"	"A1X0E4"	"-52.993293"	"47.488289"	"55 x 105"	""	""	""	""	""	""	"55X105|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18117475/13-EMERALD-CREEK-Drive-CONCEPTION-BAY-SOUTH-Newfoundland-Labrador-A1X0E4"
"1156704"	"319900"	"House"	"Freehold"	"2033"	"1"	"3"	"4"	0	"Lot 9 Highland Ridge"	"A0A2R0"	"-52.813284"	"47.530295"	"75 x 165"	"Attached garage"	""	""	""	""	""	"75 X 165|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18177327/Lot-9-HIGHLAND-Ridge-HOLYROOD-Newfoundland-Labrador-A0A2R0"
"1154788"	"319900"	"House"	"Freehold"	"3060"	"1"	"3"	"3"	0	"22 Aurora Place"	"A1L1V4"	"-52.85469"	"47.53401"	""	"Garage"	"1"	""	""	""	""	"6878 SQ FEET"	"https://www.realtor.ca//Residential/Single-Family/18004644/22-Aurora-Place-Paradise-Newfoundland-Labrador-A1L1V4"
"1156844"	"324900"	"House"		"2540"	"1"	"2"	"3"	0	"37-39 Hands Road"	"A1X5A6"	"-53.0796"	"47.468394"	"70 x 150"	""	""	""	""	""	""	"70X150|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18186689/37-39-Hands-Road-Conception-Bay-South-Newfoundland-Labrador-A1X5A6"
"1156541"	"325000"	"House"	"Freehold"	"3000"	"1"	"3"	"3"	0	"3 Harrington Drive"	"A1E5V7"	"-52.76925"	"47.53842"	"49 x 117"	""	""	""	""	""	""	"49X117|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18165357/3-Harrington-Drive-St-Johns-Newfoundland-Labrador-A1E5V7"
"1156705"	"325000"	"House"	"Freehold"	"2027"	"1"	"2"	"3"	0	"16 Starlight Drive"	"A1L0Y6"	"-52.88824"	"47.5416"	"53 x 134"	"Garage"	"1"	"Attached garage"	""	""	""	"53 X 134|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18181289/16-Starlight-Drive-Paradise-Newfoundland-Labrador-A1L0Y6"
"1156754"	"327777"	"House"	"Freehold"	"2000"	"1"	"2"	"3"	0	"209 Conception Bay Highway"	"A0A1B0"	"-53.19729"	"47.42411"	"2.8 acres"	"Detached garage"	""	""	""	""	""	"2.8 ACRES|1 - 3 acres"	"https://www.realtor.ca//Residential/Single-Family/18183039/209-CONCEPTION-BAY-Highway-AVONDALE-Newfoundland-Labrador-A0A1B0"
"1156763"	"329900"	"House"	"Freehold"	"2274"	"2"	"4"	"3"	0	"39 Baffin Drive"	"A1N0A9"	"-52.808375"	"47.527447"	"40 x 123"	""	""	""	""	""	""	"40x123|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18183041/39-Baffin-Drive-Mount-Pearl-Newfoundland-Labrador-A1N0A9"
"1154355"	"329900"	"House"	"Freehold"	"2490"	"2"	"3"	"3"	0	"28 Nautilus Street"	"A1B0G6"	"-52.78621"	"47.55157"	"50 x 100"	""	""	""	""	""	""	"50x100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/17944621/28-Nautilus-Street-St-Johns-Newfoundland-Labrador-A1B0G6"
"1156589"	"329900"	"House"		"1800"	"1"	"2"	"2"	"2"	"141 Neary's Pond Road"	"A1M2Y8"	"-52.837718"	"47.616669"	"100 x 200"	""	""	""	""	""	""	"100x200|.5 - 9.99 acres"	"https://www.realtor.ca//Residential/Single-Family/18166265/141-Nearys-Pond-Road-Portugal-Cove-Newfoundland-Labrador-A1M2Y8"
"1151488"	"330000"	"House"	"Freehold"	"2835"	"2"	"4"	"3"	"1"	"82 Brittany Drive"	"A1L3Y1"	"-52.90548"	"47.53168"	"50 x 95"	""	""	""	""	""	""	"50x95"	"https://www.realtor.ca//Residential/Single-Family/17751082/82-Brittany-Drive-Paradise-Newfoundland-Labrador-A1L3Y1"
"1152623"	"334900"	"House"	"Freehold"	"2146"	"1"	"3"	"3"	"1"	"1 Stonefield Place"	"A1N0E6"	"-52.803519"	"47.534053"	""	""	""	""	""	""	""	"456 Sq. Meters|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/17870633/1-Stonefield-Place-Mount-Pearl-Newfoundland-Labrador-A1N0E6"
"1156565"	"339900"	"House"	"Freehold"	"2400"	"2"	"3"	"3"	0	"6 Atkins Road"	"A1W3A7"	"-52.956385"	"47.526427"	"72 x 152 x 70 x 140"	"Attached garage"	""	"Garage"	"1"	""	""	"72 X 152 X 70 X 140"	"https://www.realtor.ca//Residential/Single-Family/18165374/6-ATKINS-Road-CONCEPTION-BAY-SOUTH-Newfoundland-Labrador-A1W3A7"
"1156671"	"339900"	"House"	"Freehold"	"2340"	"1"	"3"	"3"	0	"8 Mullingar Drive"	"A1L0K4"	"-52.89907"	"47.53867"	"50 x 100"	"Attached garage"	""	""	""	""	""	"50 x 100"	"https://www.realtor.ca//Residential/Single-Family/18176211/8-Mullingar-Drive-Paradise-Newfoundland-Labrador-A1L0K4"
"1155208"	"340000"	"House"	"Freehold"	"2456"	"1"	"2"	"3"	0	"20 Hopedale Crescent"	"A1B0B4"	"-52.79559"	"47.54936"	"50 x 100"	"Attached garage"	""	""	""	""	""	"50x100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18041165/20-Hopedale-Crescent-St-Johns-Newfoundland-Labrador-A1B0B4"
"1155708"	"344900"	"House"		"1748"	"1"	"2"	"3"	0	"5 Blue Jay Place"	"A1L0Y9"	"-52.887875"	"47.530795"	"80 x 108 x 40 x 98"	"Attached garage"	""	""	""	""	""	"80 X 108 X 40 X 98|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18089864/5-Blue-Jay-Place-Paradise-Newfoundland-Labrador-A1L0Y9"
"1156629"	"349000"	"House"	"Freehold"	"2680"	"1"	"3"	"3"	0	"57 Goldeneye Place"	"A1N5E1"	"-52.78109"	"47.5269"	"52 x 122 x 52 x 92"	""	""	""	""	""	""	"52X122X52X92|0-4,050 sqft"	"https://www.realtor.ca//Residential/Single-Family/18176183/57-Goldeneye-Place-MOUNT-PEARL-Newfoundland-Labrador-A1N5E1"
"1156574"	"349900"	"House"		"2360"	"1"	"3"	"3"	"2"	"20 Gullage Street"	"A1S0A4"	"-52.77713"	"47.45835"	"50 x 120"	"Detached garage"	""	""	""	""	""	"50x120|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18176168/20-Gullage-Street-Goulds-Newfoundland-Labrador-A1S0A4"
"1154842"	"349900"	"House"		"2544"	"1"	"2"	"3"	0	"49 Comerfords Road"	"A1X4B3"	"-53.047299"	"47.478015"	"50 x 103 x 50 x 109"	"Attached garage"	""	""	""	""	""	"50 X 103 X 50 X 109|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18004659/49-Comerfords-Road-Conception-Bay-South-Newfoundland-Labrador-A1X4B3"
"1156545"	"349900"	"House"	"Freehold"	"2342"	"4"	"3"	"4"	0	"67 Gil Eannes Drive"	"A1B5C6"	"-52.79261"	"47.54828"	""	""	""	""	""	""	""	"6543 Sq.FT|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18165360/67-Gil-Eannes-Drive-St-Johns-Newfoundland-Labrador-A1B5C6"
"1156518"	"349900"	"House"		"3360"	"1"	"3"	"3"	0	"4 Madengail Lane"	"A0A3C0"	"-53.295154"	"47.552106"	"99 x 325 x 90 x 324"	""	""	""	""	""	""	"99 x 325 x 90 x 324"	"https://www.realtor.ca//Residential/Single-Family/18166231/4-Madengail-Lane-North-River-Newfoundland-Labrador-A0A3C0"
"1156660"	"349900"	"House"		"2016"	"1"	"2"	"2"	0	"690-696 Indian Meal Line"	"A1M3E7"	"-52.793824"	"47.63607"	"3.646 acres"	""	""	""	""	""	""	"3.646 acres|3 - 10 acres"	"https://www.realtor.ca//Residential/Single-Family/18176204/690-696-Indian-Meal-Line-Portugal-Cove-Newfoundland-Labrador-A1M3E7"
"1155500"	"359000"	"House"	"Freehold"	"2000"	"2"	"2"	"3"	0	"140 Topsail Pond Road"	"A1L2H3"	"-52.907228"	"47.521753"	"2.68 acres"	"Detached garage"	""	"Garage"	"1"	""	""	"2.68 acres|1 - 3 acres"	"https://www.realtor.ca//Residential/Single-Family/18072382/140-Topsail-Pond-Road-Paradise-Newfoundland-Labrador-A1L2H3"
"1156700"	"369000"	"House"	"Freehold"	"3422"	"1"	"4"	"3"	0	"61 Emerald Drive"	"A1N5C2"	"-52.805616"	"47.501134"	"50 x 100"	""	""	""	""	""	""	"50x100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18177323/61-Emerald-Drive-Mount-Pearl-Newfoundland-Labrador-A1N5C2"
"1156539"	"369900"	"House"		"1200"	"1"	"3"	"3"	0	"1073 Conception Bay Highway"	"A1X4E5"	"-53.040776"	"47.485548"	"1.3 acres"	"Attached garage"	""	""	""	""	""	"1.3 acres|1 - 3 acres"	"https://www.realtor.ca//Residential/Single-Family/18165355/1073-Conception-Bay-Highway-Upper-Gullies-Newfoundland-Labrador-A1X4E5"
"1156512"	"374000"	"House"		"2722"	"1"	"2"	"3"	"2"	"5 Markland Street"	"A1E4A8"	"-52.7735"	"47.52767"	"60 x 105"	""	""	""	""	""	""	"60x105|0-4,050 sqft"	"https://www.realtor.ca//Residential/Single-Family/18164961/5-Markland-Street-St-Johns-Newfoundland-Labrador-A1E4A8"
"1156608"	"379500"	"House"		"3100"	"2"	"4"	"3"	0	"40 Almond Crescent"	"A1H1A6"	"-52.81555"	"47.48975"	"50 x 106"	"Attached garage"	""	"Garage"	"1"	""	""	"50X106|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18175516/40-ALMOND-Crescent-ST-JOHNS-Newfoundland-Labrador-A1H1A6"
"1152717"	"379900"	"House"	"Freehold"	"1860"	"1"	"3"	"3"	0	"8 Brad Gushue Crescent"	"A1H0A4"	"-52.81027"	"47.49067"	"50 x 100"	"Attached garage"	""	""	""	""	""	"50 x 100 Approx|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/17875072/8-Brad-Gushue-Crescent-St-Johns-Newfoundland-Labrador-A1H0A4"
"1155752"	"389000"	"House"	"Freehold"	"2340"	"2"	"2"	"3"	0	"31 Heights View Drive"	"A1L0A3"	"-52.86777"	"47.53269"	"50 x 135"	"Detached garage"	""	"Garage"	"2"	""	""	"50 X 135|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18097740/31-HEIGHTS-VIEW-Drive-PARADISE-Newfoundland-Labrador-A1L0A3"
"1156716"	"389900"	"House"	"Freehold"	"2458"	"2"	"4"	"3"	0	"6 Eriksson Crescent"	"A1N0C2"	"-52.80744"	"47.528515"	"40 x 99"	""	""	""	""	""	""	"40x99|0-4,050 sqft"	"https://www.realtor.ca//Residential/Single-Family/18181890/6-Eriksson-Crescent-Mount-Pearl-Newfoundland-Labrador-A1N0C2"
"1156251"	"399900"	"House"		"2184"	"2"	"4"	"2"	"1"	"52 Concord Drive"	"A1X2C2"	"-52.988482"	"47.512468"	""	""	""	""	""	""	""	"55X180X180 or 5231 square feet|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18183033/52-Concord-Drive-CONCEPTION-BAY-SOUTH-Newfoundland-Labrador-A1X2C2"
"1137875"	"399900"	"House"	"Freehold"	"2680"	"2"	"3"	"3"	0	"1 Walker Grove Place"	"A1W3J1"	"-52.957328"	"47.515244"	"65 x 241 x 209 x 47"	"Attached garage"	""	""	""	""	""	"65X241X209X47|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18157145/1-WALKER-GROVE-Place-CONCEPTION-BAY-SOUTH-Newfoundland-Labrador-A1W3J1"
"1152045"	"399900"	"House"		"2485"	"2"	"4"	"3"	0	"24 Gadwall Place"	"A1N5J8"	"-52.78199"	"47.52842"	"55 x 86.8 x 41.6 x 53"	"Attached garage"	""	""	""	""	""	"55X86.8X41.6X53|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18177289/24-Gadwall-Place-Mount-Pearl-Newfoundland-Labrador-A1N5J8"
"1156687"	"400000"	"House"	"Freehold"	"3600"	"2"	"4"	"4"	0	"6 Wabush Place"	"A1E5W1"	"-52.7638"	"47.54039"	"50 x 100"	""	""	""	""	""	""	"50 x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18177311/6-Wabush-Place-St-Johns-Newfoundland-Labrador-A1E5W1"
"1154546"	"409900"	"House"	"Freehold"	"4620"	"1"	"3"	"3"	0	"4 Delaneys Crescent"	"A0A3X0"	"-53.276029"	"47.638571"	"105 x 123"	"Attached garage"	""	"Garage"	"2"	""	""	"105 x 123 Approx|.5 - 9.99 acres"	"https://www.realtor.ca//Residential/Single-Family/17964479/4-Delaneys-Crescent-Spaniards-Bay-Newfoundland-Labrador-A0A3X0"
"1154907"	"419900"	"House"		"2794"	"2"	"4"	"3"	"1"	"43 Almond Crescent"	"A1H1A7"	"-52.81439"	"47.4895"	"39 x 103 x 80 x 134.5"	"Detached garage"	""	""	""	""	""	"39x103x80x134.5|4,051 - 7,250 sqft"	"https://www.realtor.ca//Residential/Single-Family/18022320/43-Almond-Crescent-St-Johns-Newfoundland-Labrador-A1H1A7"
"1155858"	"439500"	"House"	"Freehold"	"3042"	"2"	"3"	"3"	0	"4 Mark Nichols Place"	"A1H0A2"	"-52.81316"	"47.49104"	"52 x 100"	"Attached garage"	""	"Detached garage"	""	""	""	"52X100|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18112001/4-MARK-NICHOLS-Place-ST-JOHNS-Newfoundland-Labrador-A1H0A2"
"1156694"	"439900"	"House"		"3316"	"1"	"3"	"3"	"2"	"23 Trafalgar Drive"	"A1N4N3"	"-52.79579"	"47.50132"	"72 x 123"	"Attached garage"	""	"Garage"	"2"	""	""	"72X123|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18177318/23-Trafalgar-Drive-Mount-Pearl-Newfoundland-Labrador-A1N4N3"
"1156828"	"449900"	"House"		"2720"	"2"	"4"	"4"	0	"11 Kadan Place"	"A1X0C3"	"-52.990765"	"47.489594"	""	"Attached garage"	""	"Garage"	"1"	""	""	"Under 0.5 Acres|under 1/2 acre"	"https://www.realtor.ca//Residential/Single-Family/18186677/11-Kadan-Place-Conception-Bay-South-Newfoundland-Labrador-A1X0C3"
